## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[alignments/SRR5448113.Aligned.out.sorted.bam] OUTPUT=alignments/SRR5448113..Aligned.out.sorted.markdup.bam METRICS_FILE=alignments/SRR5448113..marked_dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Nov 21 10:49:36 EST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	4170	4731183	2047103	0	1693	365875	0	0.077477	28991537

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	4155756	4155756
2.0	1.849428	150509	150509
3.0	2.570956	30805	30805
4.0	3.183843	11654	11654
5.0	3.704446	5736	5736
6.0	4.146661	3242	3242
7.0	4.522291	2015	2015
8.0	4.841361	1328	1328
9.0	5.112389	949	949
10.0	5.342607	660	660
11.0	5.538161	469	469
12.0	5.70427	399	399
13.0	5.845368	306	306
14.0	5.96522	227	227
15.0	6.067026	167	167
16.0	6.153503	152	152
17.0	6.226959	121	121
18.0	6.289355	102	102
19.0	6.342355	87	87
20.0	6.387375	78	78
21.0	6.425617	61	61
22.0	6.4581	50	50
23.0	6.485692	39	39
24.0	6.50913	39	39
25.0	6.529038	34	34
26.0	6.545949	28	28
27.0	6.560314	29	29
28.0	6.572516	13	13
29.0	6.58288	24	24
30.0	6.591684	16	16
31.0	6.599162	13	13
32.0	6.605515	19	19
33.0	6.61091	10	10
34.0	6.615494	10	10
35.0	6.619387	14	14
36.0	6.622694	7	7
37.0	6.625503	14	14
38.0	6.627889	10	10
39.0	6.629916	8	8
40.0	6.631637	5	5
41.0	6.6331	11	11
42.0	6.634342	8	8
43.0	6.635397	5	5
44.0	6.636293	9	9
45.0	6.637055	0	0
46.0	6.637701	3	3
47.0	6.638251	2	2
48.0	6.638717	7	7
49.0	6.639114	2	2
50.0	6.63945	4	4
51.0	6.639736	2	2
52.0	6.639979	2	2
53.0	6.640186	3	3
54.0	6.640361	3	3
55.0	6.64051	2	2
56.0	6.640636	0	0
57.0	6.640744	1	1
58.0	6.640835	1	1
59.0	6.640912	2	2
60.0	6.640978	1	1
61.0	6.641034	3	3
62.0	6.641082	1	1
63.0	6.641122	2	2
64.0	6.641156	4	4
65.0	6.641185	1	1
66.0	6.64121	1	1
67.0	6.641231	1	1
68.0	6.641249	0	0
69.0	6.641264	1	1
70.0	6.641277	1	1
71.0	6.641288	0	0
72.0	6.641297	0	0
73.0	6.641305	3	3
74.0	6.641312	0	0
75.0	6.641318	0	0
76.0	6.641322	0	0
77.0	6.641327	1	1
78.0	6.64133	0	0
79.0	6.641333	0	0
80.0	6.641336	0	0
81.0	6.641338	0	0
82.0	6.641339	1	1
83.0	6.641341	1	1
84.0	6.641342	1	1
85.0	6.641343	1	1
86.0	6.641344	0	0
87.0	6.641345	0	0
88.0	6.641346	0	0
89.0	6.641346	0	0
90.0	6.641347	1	1
91.0	6.641347	0	0
92.0	6.641348	0	0
93.0	6.641348	0	0
94.0	6.641348	1	1
95.0	6.641348	0	0
96.0	6.641349	0	0
97.0	6.641349	1	1
98.0	6.641349	0	0
99.0	6.641349	0	0
100.0	6.641349	1	1
102.0	0	1	1
106.0	0	1	1
115.0	0	1	1
123.0	0	1	1
130.0	0	1	1
140.0	0	1	1
180.0	0	1	1
217.0	0	1	1

