## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[alignments/SRR5448118.Aligned.out.sorted.bam] OUTPUT=alignments/SRR5448118..Aligned.out.sorted.markdup.bam METRICS_FILE=alignments/SRR5448118..marked_dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Nov 21 10:56:37 EST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	4395	4716015	1984457	0	1825	331042	0	0.070356	32000989

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	4187438	4187438
2.0	1.862974	145289	145289
3.0	2.607698	27845	27845
4.0	3.250375	10297	10297
5.0	3.804988	5006	5006
6.0	4.283605	2761	2761
7.0	4.696639	1696	1696
8.0	5.053077	1123	1123
9.0	5.360673	788	788
10.0	5.626121	575	575
11.0	5.855195	410	410
12.0	6.05288	324	324
13.0	6.223477	219	219
14.0	6.370698	173	173
15.0	6.497745	177	177
16.0	6.607384	104	104
17.0	6.702	95	95
18.0	6.78365	85	85
19.0	6.854113	67	67
20.0	6.91492	63	63
21.0	6.967395	51	51
22.0	7.012679	43	43
23.0	7.051759	46	46
24.0	7.085483	19	19
25.0	7.114587	25	25
26.0	7.139702	29	29
27.0	7.161376	23	23
28.0	7.18008	21	21
29.0	7.196221	18	18
30.0	7.210151	6	6
31.0	7.222171	11	11
32.0	7.232545	13	13
33.0	7.241497	8	8
34.0	7.249222	9	9
35.0	7.255889	6	6
36.0	7.261642	10	10
37.0	7.266607	10	10
38.0	7.270892	6	6
39.0	7.274589	2	2
40.0	7.27778	3	3
41.0	7.280534	5	5
42.0	7.28291	8	8
43.0	7.284961	4	4
44.0	7.286731	4	4
45.0	7.288258	2	2
46.0	7.289576	7	7
47.0	7.290713	2	2
48.0	7.291695	2	2
49.0	7.292542	0	0
50.0	7.293273	4	4
51.0	7.293903	1	1
52.0	7.294448	3	3
53.0	7.294917	3	3
54.0	7.295323	2	2
55.0	7.295673	2	2
56.0	7.295975	3	3
57.0	7.296235	0	0
58.0	7.29646	0	0
59.0	7.296654	1	1
60.0	7.296821	1	1
61.0	7.296966	1	1
62.0	7.297091	0	0
63.0	7.297198	0	0
64.0	7.297291	1	1
65.0	7.297371	1	1
66.0	7.29744	1	1
67.0	7.2975	2	2
68.0	7.297552	0	0
69.0	7.297596	2	2
70.0	7.297634	1	1
71.0	7.297667	1	1
72.0	7.297696	1	1
73.0	7.297721	0	0
74.0	7.297742	0	0
75.0	7.29776	0	0
76.0	7.297776	0	0
77.0	7.29779	0	0
78.0	7.297802	0	0
79.0	7.297812	0	0
80.0	7.297821	3	3
81.0	7.297828	0	0
82.0	7.297835	1	1
83.0	7.29784	0	0
84.0	7.297845	0	0
85.0	7.297849	1	1
86.0	7.297853	0	0
87.0	7.297856	0	0
88.0	7.297859	1	1
89.0	7.297861	1	1
90.0	7.297863	0	0
91.0	7.297865	0	0
92.0	7.297867	0	0
93.0	7.297868	1	1
94.0	7.297869	0	0
95.0	7.29787	0	0
96.0	7.297871	0	0
97.0	7.297871	0	0
98.0	7.297872	0	0
99.0	7.297873	1	1
100.0	7.297873	0	0
104.0	0	1	1
114.0	0	1	1
137.0	0	1	1
175.0	0	1	1
195.0	0	1	1

