## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[alignments/SRR5448115.Aligned.out.sorted.bam] OUTPUT=alignments/SRR5448115..Aligned.out.sorted.markdup.bam METRICS_FILE=alignments/SRR5448115..marked_dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Nov 21 10:52:24 EST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	4088	4731670	2080636	0	1674	374326	0	0.079253	28306405

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	4144558	4144558
2.0	1.846065	152007	152007
3.0	2.561891	31492	31492
4.0	3.167527	12153	12153
5.0	3.679934	5962	5962
6.0	4.113463	3316	3316
7.0	4.480258	2043	2043
8.0	4.79059	1384	1384
9.0	5.053151	979	979
10.0	5.275294	699	699
11.0	5.463242	520	520
12.0	5.622259	374	374
13.0	5.756797	311	311
14.0	5.870625	226	226
15.0	5.966931	203	203
16.0	6.048412	143	143
17.0	6.11735	136	136
18.0	6.175676	99	99
19.0	6.225024	72	72
20.0	6.266776	76	76
21.0	6.3021	59	59
22.0	6.331987	56	56
23.0	6.357273	48	48
24.0	6.378667	47	47
25.0	6.396767	28	28
26.0	6.412081	37	37
27.0	6.425038	24	24
28.0	6.436	27	27
29.0	6.445275	22	22
30.0	6.453122	17	17
31.0	6.459762	19	19
32.0	6.465379	16	16
33.0	6.470131	16	16
34.0	6.474152	14	14
35.0	6.477554	21	21
36.0	6.480432	11	11
37.0	6.482868	5	5
38.0	6.484928	8	8
39.0	6.486671	6	6
40.0	6.488146	5	5
41.0	6.489394	4	4
42.0	6.490449	7	7
43.0	6.491343	7	7
44.0	6.492098	5	5
45.0	6.492738	5	5
46.0	6.493279	4	4
47.0	6.493736	5	5
48.0	6.494124	4	4
49.0	6.494451	3	3
50.0	6.494729	5	5
51.0	6.494963	7	7
52.0	6.495161	5	5
53.0	6.495329	1	1
54.0	6.495471	0	0
55.0	6.495592	1	1
56.0	6.495693	3	3
57.0	6.495779	5	5
58.0	6.495852	0	0
59.0	6.495914	2	2
60.0	6.495966	1	1
61.0	6.49601	2	2
62.0	6.496047	2	2
63.0	6.496079	0	0
64.0	6.496105	0	0
65.0	6.496128	1	1
66.0	6.496147	1	1
67.0	6.496163	2	2
68.0	6.496177	1	1
69.0	6.496188	0	0
70.0	6.496198	2	2
71.0	6.496207	1	1
72.0	6.496214	1	1
73.0	6.496219	0	0
74.0	6.496224	1	1
75.0	6.496229	1	1
76.0	6.496232	0	0
77.0	6.496235	1	1
78.0	6.496238	0	0
79.0	6.49624	2	2
80.0	6.496242	0	0
81.0	6.496244	1	1
82.0	6.496245	1	1
83.0	6.496246	2	2
84.0	6.496247	0	0
85.0	6.496248	0	0
86.0	6.496248	0	0
87.0	6.496249	0	0
88.0	6.496249	0	0
89.0	6.49625	0	0
90.0	6.49625	2	2
91.0	6.49625	0	0
92.0	6.496251	1	1
93.0	6.496251	0	0
94.0	6.496251	0	0
95.0	6.496251	0	0
96.0	6.496251	0	0
97.0	6.496251	0	0
98.0	6.496252	0	0
99.0	6.496252	0	0
100.0	6.496252	0	0
110.0	0	1	1
111.0	0	1	1
117.0	0	1	1
161.0	0	1	1
169.0	0	1	1
241.0	0	1	1

