## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[alignments/SRR5448116.Aligned.out.sorted.bam] OUTPUT=alignments/SRR5448116..Aligned.out.sorted.markdup.bam METRICS_FILE=alignments/SRR5448116..marked_dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Nov 21 10:53:51 EST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	4314	4726056	1955748	0	1734	339599	0	0.072007	31290285

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	4184008	4184008
2.0	1.859814	149703	149703
3.0	2.599094	27975	27975
4.0	3.234738	10392	10392
5.0	3.781273	5056	5056
6.0	4.251192	2836	2836
7.0	4.655235	1706	1706
8.0	5.002637	1110	1110
9.0	5.301337	761	761
10.0	5.558165	603	603
11.0	5.778988	424	424
12.0	5.968856	338	338
13.0	6.132106	244	244
14.0	6.272471	195	195
15.0	6.393159	173	173
16.0	6.496928	128	128
17.0	6.586151	108	108
18.0	6.662865	84	84
19.0	6.728825	75	75
20.0	6.785539	63	63
21.0	6.834302	52	52
22.0	6.876229	35	35
23.0	6.912279	42	42
24.0	6.943275	28	28
25.0	6.969925	33	33
26.0	6.99284	26	26
27.0	7.012542	27	27
28.0	7.029483	25	25
29.0	7.044048	18	18
30.0	7.056572	14	14
31.0	7.06734	18	18
32.0	7.076599	6	6
33.0	7.084559	11	11
34.0	7.091404	10	10
35.0	7.097289	4	4
36.0	7.102349	11	11
37.0	7.1067	4	4
38.0	7.110441	6	6
39.0	7.113657	4	4
40.0	7.116423	8	8
41.0	7.1188	4	4
42.0	7.120845	8	8
43.0	7.122603	5	5
44.0	7.124114	3	3
45.0	7.125414	6	6
46.0	7.126531	3	3
47.0	7.127492	3	3
48.0	7.128318	5	5
49.0	7.129028	4	4
50.0	7.129639	5	5
51.0	7.130164	2	2
52.0	7.130616	0	0
53.0	7.131004	1	1
54.0	7.131338	3	3
55.0	7.131625	2	2
56.0	7.131871	2	2
57.0	7.132083	2	2
58.0	7.132266	1	1
59.0	7.132423	2	2
60.0	7.132558	4	4
61.0	7.132673	1	1
62.0	7.132773	0	0
63.0	7.132859	0	0
64.0	7.132933	0	0
65.0	7.132996	1	1
66.0	7.13305	2	2
67.0	7.133097	2	2
68.0	7.133138	1	1
69.0	7.133172	3	3
70.0	7.133202	0	0
71.0	7.133228	0	0
72.0	7.13325	0	0
73.0	7.133269	0	0
74.0	7.133285	0	0
75.0	7.133299	0	0
76.0	7.133311	2	2
77.0	7.133321	0	0
78.0	7.13333	1	1
79.0	7.133338	0	0
80.0	7.133344	2	2
81.0	7.13335	0	0
82.0	7.133355	1	1
83.0	7.133359	0	0
84.0	7.133363	0	0
85.0	7.133366	1	1
86.0	7.133368	1	1
87.0	7.133371	1	1
88.0	7.133373	0	0
89.0	7.133374	0	0
90.0	7.133376	0	0
91.0	7.133377	0	0
92.0	7.133378	1	1
93.0	7.133379	0	0
94.0	7.13338	0	0
95.0	7.13338	0	0
96.0	7.133381	1	1
97.0	7.133382	0	0
98.0	7.133382	0	0
99.0	7.133382	0	0
100.0	7.133383	0	0
103.0	0	1	1
108.0	0	2	2
121.0	0	1	1
133.0	0	1	1
147.0	0	1	1
185.0	0	1	1

